Problem,Total_Value,Total_Weight,Selected_Items,Time
50_50_3_2_5,354,164,4-13-37-49-50-16-20-41-40-26-25-44-35-9-12-14-19-2-6,10.0774564743042
50_50_3_3_5,345,165,25-30-40-5-18-35-47-23-38-17-21-28-36-20-11-22-24-41,10.038499355316162
50_50_3_4_5,356,176,40-3-25-13-8-45-15-21-33-28-18-31-9-39-19-27-23-30,10.031297206878662
50_50_3_5_5,394,214,1-2-27-45-49-9-48-24-37-43-18-47-11-16-10-14-19-34,10.041962623596191
50_50_4_1_5,212,212,1-2-3-4-5-6-8-11,0.01564931869506836
50_50_4_2_5,402,402,1-2-3-4-6-7-8-9-10-11-12-13-15-16-17-18,6.079303503036499
50_50_4_3_5,401,401,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19,10.054594039916992
50_50_4_4_5,374,374,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18,10.072368383407593
50_50_4_5_5,486,486,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18,10.046194076538086
50_100_1_1_5,1493,362,39-50-13-15-20-35-38-29-48-5-9-17-36-27-11-31-45-10-4-16-34-18,2.4529552459716797
50_100_1_2_5,1346,506,7-45-19-35-43-47-18-6-33-3-29-42-41-14-12-32-49-24-50-25-11,10.09077787399292
50_100_1_3_5,1278,325,41-27-3-35-44-34-13-11-1-8-50-2-10-28-42-19-25-38-33,10.061813116073608
50_100_1_4_5,1236,402,31-23-6-36-30-26-16-14-38-20-37-19-25-9-24-50-1-27,10.055418729782104
50_100_1_5_5,1253,451,32-5-22-33-47-29-10-24-49-16-4-3-14-41-15-26-6-37,10.035036087036133
50_100_2_1_5,481,373,39-17-13-48-35-36-5-20-9-45-38-34-22-3-29-19,1.2186789512634277
50_100_2_2_5,944,823,47-35-43-18-50-33-6-42-40-14-20-16-4-38-11-28-1-8-7,9.568997621536255
50_100_2_3_5,747,618,27-41-3-18-34-44-10-4-5-8-50-17-29-14-31-30-42-47-16,10.080028533935547
50_100_2_4_5,779,651,31-16-36-32-6-30-19-44-43-27-9-40-37-21-48-10-8-13,10.057186126708984
50_100_2_5_5,1064,953,32-5-24-26-4-16-31-47-3-6-13-27-2-11-44-35-43-50,10.046207904815674
50_100_3_1_5,610,420,29-33-39-25-19-9-14-35-16-17-7-21-24-28-34-23-36-45-46,8.084954500198364
50_100_3_2_5,602,412,13-37-49-50-20-44-35-2-11-43-38-5-30-27-29-8-32-10-18,10.077444553375244
50_100_3_3_5,467,277,25-30-5-18-35-21-28-36-9-1-15-3-49-26-8-19-10-14-37,10.061756610870361
50_100_3_4_5,694,514,8-45-31-39-27-11-17-20-44-47-16-24-1-37-49-42-43-36,10.053810119628906
50_100_3_5_5,650,470,9-24-43-18-47-14-19-34-7-29-31-38-50-40-42-22-26-30,10.046778678894043
50_100_4_1_5,420,420,1-2-3-4-6-8-10,0.01558232307434082
50_100_4_2_5,886,886,1-2-3-4-5-6-7-9-12-13-14-15-16-17-18,5.288975477218628
50_100_4_3_5,751,751,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19,10.077383518218994
50_100_4_4_5,1024,1024,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18,10.04917049407959
50_100_4_5_5,1136,1136,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18,10.040651321411133
50_500_1_1_5,5860,2251,36-8-21-38-45-37-32-39-50-19-42-18-46-40-44-5-28,0.48432374000549316
50_500_1_2_5,6266,3236,50-33-6-3-15-4-36-14-8-9-13-43-7-40-35-47-38-42-30,10.032118797302246
50_500_1_3_5,5776,3186,3-41-5-20-14-22-21-47-37-16-33-24-29-25-50-9-38-13-27,10.071314811706543
50_500_1_4_5,6183,2434,27-37-44-12-30-13-34-38-5-15-25-50-3-16-28-2-20-9,10.049245357513428
50_500_1_5_5,5961,1984,22-32-16-31-5-46-30-24-48-18-33-37-14-43-40-8-1-35,10.054786205291748
50_500_2_1_5,2645,2249,36-21-18-44-38-45-11-5-13-34-32-15,0.07806253433227539
50_500_2_2_5,5336,4722,34-15-47-14-9-8-3-48-13-2-22-29-32-17-10-37-44-16-25,9.989368200302124
50_500_2_3_5,4693,4203,3-7-49-22-29-14-47-33-43-28-36-46-34-50-13-17-42-18-48,10.09301233291626
50_500_2_4_5,4512,3978,22-27-37-41-18-25-5-42-20-29-24-34-6-11-39-9-7-1-45,10.093002319335938
50_500_2_5_5,4002,3342,48-16-31-8-23-1-12-43-36-44-33-6-38-45-30-21-10-20,10.038355827331543
50_500_3_1_5,2415,2235,34-15-41-50-44-13-48-35-24-20-46-8-40-37-49-18-33-39,4.542511463165283
50_500_3_2_5,2260,2070,49-50-44-11-5-40-7-46-27-29-10-4-25-12-6-36-15-34-17,10.093063116073608
50_500_3_3_5,1877,1687,30-5-9-14-34-13-39-38-27-43-31-2-36-20-24-41-4-6-32,10.05328369140625
50_500_3_4_5,2194,2014,44-42-43-36-25-28-23-35-29-16-49-22-9-48-5-34-26-46,10.06175947189331
50_500_3_5_5,1534,1354,9-24-43-47-14-34-31-48-10-12-15-25-18-42-26-46-33-1,10.035071849822998
50_500_4_1_5,2237,2237,3-4-5-10-11-12,0.0937032699584961
50_500_4_2_5,4352,4352,1-2-3-4-5-6-7-9-12-13-14-15-16-17-18-19,10.00444483757019
50_500_4_3_5,4451,4451,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19,10.069295167922974
50_500_4_4_5,5424,5424,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18,10.061779737472534
50_500_4_5_5,4236,4236,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18,10.036218166351318
50_1000_1_1_5,10281,5073,21-37-39-20-45-7-50-46-44-29-47-8-34-32-16-15-35,0.3124568462371826
50_1000_1_2_5,15814,8717,25-50-33-4-47-13-38-35-11-49-9-17-24-43-15-8-14-3-7-23-20-12-18-45,7.280754327774048
50_1000_1_3_5,13364,6958,5-3-41-22-16-33-26-25-6-17-2-30-12-21-37-24-47-29-9,10.083011627197266
50_1000_1_4_5,10747,3785,27-13-37-5-12-30-6-2-48-29-23-15-16-35-14-33-9-3,10.057486772537231
50_1000_1_5_5,13088,2984,32-22-31-8-40-49-18-37-14-15-48-6-45-36-35-34-38-43,10.04671859741211
50_1000_2_1_5,5796,5089,21-37-7-44-45-13-15-25-28-3-11-20-12,0.07809805870056152
50_1000_2_2_5,9917,8696,50-4-38-39-11-35-1-41-36-37-26-29-6-32-3-8-23-27,10.055906772613525
50_1000_2_3_5,12011,11097,41-49-1-21-31-43-15-28-36-27-29-45-17-9-13-11-44-18-32,10.093031406402588
50_1000_2_4_5,9563,8662,27-42-5-6-48-49-15-44-2-22-11-33-39-20-18-50-10-21-1,10.069847345352173
50_1000_2_5_5,8400,7279,22-48-31-36-43-23-34-35-46-7-42-28-4-45-9-18-2-38,10.046013355255127
50_1000_3_1_5,4015,3825,34-41-50-44-13-24-20-46-8-39-14-23-36-26-29-12-30-10-38,10.121403694152832
50_1000_3_2_5,5356,5166,49-44-7-25-12-36-17-35-38-21-20-18-42-33-2-43-39-47-45,10.092228889465332
50_1000_3_3_5,4265,4075,5-9-38-43-31-2-36-6-1-26-46-40-33-28-49-8-3-7-45,10.084110736846924
50_1000_3_4_5,3666,3486,36-25-23-29-22-9-48-34-45-31-11-47-3-13-30-14-27-17,10.061765432357788
50_1000_3_5_5,2621,2441,24-43-14-34-10-15-18-42-26-46-45-11-35-20-29-22-2-27,10.039541959762573
50_1000_4_1_5,4570,4570,1-4-6-8-9-10-11-12,0.09374237060546875
50_1000_4_2_5,9352,9352,1-2-3-4-5-6-7-9-12-13-14-15-16-17-18-19,9.936822652816772
50_1000_4_3_5,9451,9451,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19,10.072761297225952
50_1000_4_4_5,10924,10924,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18,10.06175971031189
50_1000_4_5_5,8736,8736,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18,10.0461905002594
100_50_1_1_5,494,91,74-50-82-28-35-41-59-13-98-17-73-39-75-67-3-21-22-70,10.034767627716064
100_50_1_2_5,646,99,90-19-89-7-51-47-45-35-74-70-21-84-32-43-88-55-5-68,10.046480417251587
100_50_1_3_5,608,122,27-35-46-37-41-13-3-61-74-24-67-73-75-95-71-44-21-89,10.02469253540039
100_50_1_4_5,541,81,73-13-55-78-2-46-23-11-40-31-48-7-8-36-65-79-17,10.030566453933716
100_50_1_5_5,555,118,41-65-98-81-14-29-23-25-32-75-51-90-22-76-19-52-6,10.001789331436157
100_50_2_1_5,280,202,21-82-46-17-35-70-28-75-38-3-15-42-60-29-86-90-9-10-47,10.077433586120605
100_50_2_2_5,323,252,25-47-74-32-63-66-13-46-50-10-80-71-11-37-58-75-61-85,10.039148569107056
100_50_2_3_5,263,196,35-27-41-73-26-46-89-29-75-34-94-44-100-67-64-1-28-83,10.030565977096558
100_50_2_4_5,181,125,73-35-59-71-55-58-17-74-79-36-45-5-7-30-90-23-48,10.022477865219116
100_50_2_5_5,227,161,65-41-50-81-75-97-14-51-40-60-47-37-90-10-19-66-96,10.011481046676636
100_50_3_1_5,266,86,41-77-99-42-43-72-81-88-5-29-64-69-91-12-33-50-55-39,10.03976821899414
100_50_3_2_5,253,73,4-13-37-49-50-16-66-93-20-89-69-63-85-41-40-53-56-26,10.027765035629272
100_50_3_3_5,247,77,53-81-25-60-69-91-30-40-5-73-78-94-68-18-35-47-51,10.031155109405518
100_50_3_4_5,247,77,40-69-70-3-25-61-13-90-8-45-95-79-91-15-21-33-78,10.015623569488525
100_50_3_5_5,243,73,76-81-100-52-99-66-1-56-57-80-2-27-45-49-77-79-96,10.015464782714844
100_50_4_1_5,407,407,1-2-3-4-5-6-7-8-9-10-11-13-15-16-18,4.783640384674072
100_50_4_2_5,444,444,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18,10.046193599700928
100_50_4_3_5,380,380,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18,10.02317762374878
100_50_4_4_5,364,364,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17,10.007304906845093
100_50_4_5_5,474,474,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17,10.003901481628418
100_100_1_1_5,1253,162,74-39-50-82-59-13-15-88-20-61-35-38-29-48-5-79-9-17,10.033233165740967
100_100_1_2_5,1156,113,7-70-45-74-19-35-89-51-69-43-47-86-55-84-18-87-58-82,10.038693189620972
100_100_1_3_5,1225,188,41-27-3-35-73-74-64-44-34-13-11-1-8-84-52-67-50-2,10.018157243728638
100_100_1_4_5,1164,186,31-78-71-23-58-74-100-80-52-6-36-65-30-26-81-16-14,10.018544673919678
100_100_1_5_5,1153,199,51-97-32-5-22-33-47-76-29-52-74-10-24-49-75-16-95,10.001291990280151
100_100_2_1_5,385,260,74-39-82-17-13-59-69-48-75-35-36-5-20-9-45-79-81-10-65,10.061095237731934
100_100_2_2_5,450,322,47-69-51-86-35-43-18-50-68-82-85-33-6-42-40-52-78-100-14,10.039708375930786
100_100_2_3_5,374,261,27-41-3-18-34-88-44-10-4-5-82-89-80-53-84-8-50-94,10.019437074661255
100_100_2_4_5,487,358,65-31-58-74-80-16-36-90-32-6-82-30-19-44-43-68-27,10.026099920272827
100_100_2_5_5,531,410,97-32-72-52-5-55-24-79-88-96-54-26-71-95-84-83-60,10.046149253845215
100_100_3_1_5,367,187,77-99-88-29-69-33-39-25-92-19-98-9-75-57-71-95-14-35,10.036219358444214
100_100_3_2_5,310,130,13-37-49-50-93-20-89-69-85-56-44-78-35-54-80-99-100-65,10.030529499053955
100_100_3_3_5,284,114,53-81-25-69-30-5-94-18-35-51-52-67-21-28-36-58-87,10.030573606491089
100_100_3_4_5,355,185,69-70-61-90-8-45-78-71-31-75-39-84-59-27-66-11-51,10.008486270904541
100_100_3_5_5,313,143,76-56-57-80-79-96-63-65-9-24-93-43-72-18-73-47-74,10.00552248954773
100_100_4_1_5,832,832,1-2-3-4-5-6-7-9-10-11-12-13-14-15-16-17-18,5.813527822494507
100_100_4_2_5,1060,1060,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19,10.061797380447388
100_100_4_3_5,730,730,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18,10.022265434265137
100_100_4_4_5,964,964,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17,10.024111032485962
100_100_4_5_5,1124,1124,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17,10.030547142028809
100_500_1_1_5,6819,2138,82-36-8-64-21-38-61-45-37-7-77-85-32-89-52-39-50-19-90,10.070945501327515
100_500_1_2_5,4564,773,70-50-71-33-87-58-6-78-3-92-95-73-72-57-15-4-36-14,10.046188116073608
100_500_1_3_5,5827,1253,89-3-41-94-92-52-5-20-56-14-66-90-22-80-21-47-73-93,10.030981302261353
100_500_1_4_5,5497,1116,63-98-66-27-37-44-12-58-54-83-30-84-13-34-38-85-5,10.031028985977173
100_500_1_5_5,5555,662,22-74-32-79-16-31-92-65-5-46-56-30-55-77-24-48-54,10.016663789749146
100_500_2_1_5,3176,2563,82-36-94-21-97-71-18-44-77-38-45-64-54-66-65-90-11-63-86,10.07887053489685
100_500_2_2_5,2132,1648,75-87-34-78-92-72-33-15-47-14-57-73-9-8-71-99-3-48,10.04590368270874
100_500_2_3_5,3362,2745,3-52-94-7-49-22-29-14-87-47-33-100-51-43-28-55-85-65,10.038185596466064
100_500_2_4_5,3136,2545,22-27-37-41-18-25-58-90-87-86-5-42-79-75-20-29-24,10.025771379470825
100_500_2_5_5,2282,1628,74-48-79-16-92-65-31-8-73-78-77-54-23-1-12-43-80,10.026882886886597
100_500_3_1_5,1379,1199,71-66-60-34-15-86-41-50-44-83-52-13-58-48-73-75-35-89,10.061758995056152
100_500_3_2_5,751,571,49-50-56-44-99-65-11-68-67-5-62-71-52-88-40-82-96-7,10.030511379241943
100_500_3_3_5,870,700,81-30-5-9-14-34-13-93-98-39-97-38-57-82-27-56-43,10.023445129394531
100_500_3_4_5,937,767,59-73-96-44-53-72-42-87-43-64-36-92-25-28-60-23-62,10.028574228286743
100_500_3_5_5,855,685,63-9-24-43-47-14-34-31-95-61-48-91-94-10-82-59-88,10.019689321517944
100_500_4_1_5,4582,4582,1-2-3-4-6-7-9-10-11-12-13-14-15-16-17,3.1664795875549316
100_500_4_2_5,4494,4494,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18,10.056830167770386
100_500_4_3_5,4230,4230,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18,10.0461745262146
100_500_4_4_5,4964,4964,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17,10.03054928779602
100_500_4_5_5,4124,4124,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17,10.03050708770752
100_1000_1_1_5,12125,3522,21-71-37-86-56-39-55-20-76-45-7-85-93-100-89-63-50-90-75,10.077872037887573
100_1000_1_2_5,10721,2164,25-50-71-33-87-75-92-4-78-47-13-90-73-82-38-35-91-74,10.03485107421875
100_1000_1_3_5,12494,2462,5-52-3-41-94-22-59-16-73-90-62-78-33-26-69-25-93-95,10.02330732345581
100_1000_1_4_5,11150,2242,27-83-13-37-55-5-12-72-54-62-30-86-6-75-2-48-29,10.03050708770752
100_1000_1_5_5,12439,1525,32-22-74-79-31-92-65-8-40-56-100-90-49-18-77-37-14,10.00086522102356
100_1000_2_1_5,9108,7898,21-86-89-37-7-44-45-91-77-85-13-15-62-25-28-3-17-16-50,10.157217741012573
100_1000_2_2_5,6805,5486,50-73-4-90-96-89-38-39-11-35-1-41-72-36-37-82-18-70,10.050388813018799
100_1000_2_3_5,8148,6876,41-87-49-78-91-93-1-51-69-86-21-31-43-92-88-80-64-15,10.033462524414062
100_1000_2_4_5,5290,4373,27-86-54-42-5-6-51-48-49-15-55-90-44-100-2-22-93,10.026278257369995
100_1000_2_5_5,4758,3567,22-48-31-65-56-95-96-36-43-23-34-81-63-100-57-35-46,10.020276546478271
100_1000_3_1_5,2151,1971,60-34-86-41-50-44-13-73-89-24-84-20-46-91-87-8-96-77,10.047258615493774
100_1000_3_2_5,1595,1415,49-44-99-65-68-67-62-52-88-82-7-93-72-61-25-12-36-17,10.028276681900024
100_1000_3_3_5,1520,1350,81-5-9-98-97-38-82-56-43-72-31-2-36-86-92-96-6,10.022289752960205
100_1000_3_4_5,1469,1299,59-73-53-72-64-36-92-25-60-23-82-29-90-84-22-95-9,10.020977020263672
100_1000_3_5_5,1354,1184,63-24-43-14-34-95-61-10-82-88-15-79-96-18-97-42-26,10.02394151687622
100_1000_4_1_5,8998,8998,1-2-3-4-5-6-7-8-10-11-12-14-15-16,1.3279924392700195
100_1000_4_2_5,11260,11260,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19,10.139938354492188
100_1000_4_3_5,8730,8730,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18,10.024422883987427
100_1000_4_4_5,10464,10464,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17,10.03056788444519
100_1000_4_5_5,8624,8624,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17,10.021132707595825
500_50_1_1_5,639,25,236-350-327-484-153-323-74-493-306-142-260-50-447-82-449-171,10.014907121658325
500_50_1_2_5,549,20,251-203-237-284-436-445-479-90-287-458-19-179-89-217-455,10.001862049102783
500_50_1_3_5,513,26,328-204-27-472-152-151-317-240-237-200-187-35-149-150-297,10.014940738677979
500_50_1_4_5,485,20,169-73-212-398-418-234-397-280-116-313-373-330-218-219-478,10.00672459602356
500_50_1_5_5,480,16,227-386-336-382-141-292-404-41-437-145-65-302-178-383,10.0124351978302
500_50_2_1_5,101,37,236-397-21-153-248-142-82-171-355-493-241-239-363-109-314-323,10.002996683120728
500_50_2_2_5,98,44,436-287-25-445-217-236-284-47-74-237-290-437-32-63-110-158,10.015446662902832
500_50_2_3_5,101,42,317-472-236-237-150-35-131-27-41-73-159-282-289-432-481,10.002976894378662
500_50_2_4_5,83,26,183-234-418-73-313-35-136-212-330-392-125-263-59-71-55,10.014959335327148
500_50_2_5_5,89,31,65-145-227-321-41-50-178-275-404-81-274-243-140-179-354,10.008809804916382
500_50_3_1_5,170,20,41-147-166-208-305-438-457-471-478-495-77-99-181-182-202,10.01492190361023
500_50_3_2_5,167,17,4-13-37-49-50-132-144-179-212-310-405-458-473-16-66,10.00443410873413
500_50_3_3_5,161,21,53-251-303-326-396-407-479-81-136-301-316-317-321-340,10.00593113899231
500_50_3_4_5,156,16,40-69-70-129-145-266-271-293-337-365-423-467-170-209,10.013680696487427
500_50_3_5_5,154,14,76-81-100-129-140-219-248-264-281-289-306-350-355-453,10.014920949935913
500_50_4_1_5,406,406,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17,10.014936208724976
500_50_4_2_5,354,354,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16,10.014881610870361
500_50_4_3_5,321,321,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,10.014939069747925
500_50_4_4_5,305,305,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,10.003536224365234
500_50_4_5_5,371,371,1-2-3-4-5-6-7-8-9-10-11-12-13-14,10.00279951095581
500_100_1_1_5,1209,30,236-74-306-229-397-350-493-142-260-323-156-39-161-169-396-464,10.003689527511597
500_100_1_2_5,1053,30,237-436-479-7-455-484-70-45-313-74-158-458-19-35-179,10.003872632980347
500_100_1_3_5,1151,40,328-204-472-297-41-27-149-265-347-206-430-131-264-432-350,10.000863313674927
500_100_1_4_5,861,28,373-478-219-105-212-398-421-418-397-280-204-31-205-78,10.001798629760742
500_100_1_5_5,943,30,437-145-110-302-464-424-106-321-356-380-214-178-274-275,10.007775783538818
500_100_2_1_5,183,63,323-74-350-39-447-416-229-355-82-269-463-494-423-150-184-17,10.005432605743408
500_100_2_2_5,166,66,237-313-479-47-455-69-437-51-86-299-35-43-105-159-168,10.00049090385437
500_100_2_3_5,160,48,126-27-328-387-41-236-206-104-204-289-3-300-103-18-265,10.003325700759888
500_100_2_4_5,132,40,398-65-105-373-418-31-410-124-125-397-126-219-392-180-337,10.00800633430481
500_100_2_5_5,162,66,145-106-350-476-110-178-97-247-124-359-32-208-353-437-293,10.001011848449707
500_100_3_1_5,188,28,147-166-208-457-471-478-77-99-181-182-214-268-283-311-88-163,10.018235206604004
500_100_3_2_5,173,23,13-37-49-50-132-310-458-473-93-139-177-348-357-418-20,10.003591060638428
500_100_3_3_5,182,32,53-251-396-407-81-136-316-340-471-25-69-207-297-411-477,10.013090372085571
500_100_3_4_5,177,27,69-70-129-266-365-423-170-209-249-294-437-498-61-126-141,10.012413024902344
500_100_3_5_5,164,24,76-219-248-264-289-306-350-355-211-274-149-276-324-392,10.002666473388672
500_100_4_1_5,787,787,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16,10.004066467285156
500_100_4_2_5,854,854,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16,10.006800889968872
500_100_4_3_5,571,571,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,10.036259889602661
500_100_4_4_5,905,905,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15,10.003753662109375
500_100_4_5_5,871,871,1-2-3-4-5-6-7-8-9-10-11-12-13-14,10.00947117805481
